Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20150901;100.0;100.0;100.0;100.0;-
20150902;100.0;100.0;100.0;100.0;-
20150903;100.0;100.0;100.0;100.0;-
20150904;100.0;100.0;100.0;100.0;-
20150907;100.0;100.0;100.0;100.0;-
20150908;100.0;100.0;100.0;100.0;-
20150909;100.0;100.0;100.0;100.0;-
20150910;100.0;100.0;100.0;100.0;-
20150911;100.0;100.0;100.0;100.0;-
20150914;100.0;100.0;100.0;100.0;-
20150915;100.0;100.0;100.0;100.0;-
20150916;100.0;100.0;100.0;100.0;-
20150917;100.0;100.0;100.0;100.0;-
20150918;100.0;100.0;100.0;100.0;-
20150921;100.0;100.0;100.0;100.0;-
20150922;100.0;100.0;100.0;100.0;-
20150923;100.0;100.0;100.0;100.0;-
20150924;100.0;100.0;100.0;100.0;-
20150925;100.0;100.0;100.0;100.0;-
20150928;100.0;100.0;100.0;100.0;100
20150929;100.0;100.0;100.0;100.0;-
20150930;100.0;100.0;100.0;100.0;-
